GeoFips,GeoName,LineCode,Description,gdp2018,gdp2017,gdp2016,gdp2015,gdp2014,gdp2013,gdp2012,gdp2011,gdp2010,gdp2009,gdp2008,gdp2007
13037,"Calhoun, GA",11,    Construction,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13037,"Calhoun, GA",12,    Manufacturing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1265,(D)
13037,"Calhoun, GA",13,      Durable goods manufacturing,(D),6,37,18,23,28,24,62,(D),(D),(D),(D)
13037,"Calhoun, GA",25,      Nondurable goods manufacturing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13037,"Calhoun, GA",34,    Wholesale trade,12346,11591,11951,12084,11221,10742,9530,7940,7153,6157,6379,5215
13037,"Calhoun, GA",35,    Retail trade,4877,5063,4348,3954,3847,4024,3832,3867,4349,4330,4106,4496
13037,"Calhoun, GA",36,    Transportation and warehousing,1634,1541,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13037,"Calhoun, GA",45,    Information,0,0,0,1,0,9,17,24,15,0,0,3
13037,"Calhoun, GA",50,"    Finance, insurance, real estate, rental, and leasing",34098,32526,31073,30057,29855,28214,30356,42431,44750,44575,38787,34170
13037,"Calhoun, GA",51,      Finance and insurance,(D),(D),(D),(D),(D),(D),(D),22057,24072,23252,(D),(D)
13037,"Calhoun, GA",56,      Real estate and rental and leasing,(D),(D),(D),(D),(D),(D),(D),20373,20678,21323,(D),(D)
13037,"Calhoun, GA",59,    Professional and business services,(D),(D),8973,9174,9201,8156,(D),(D),4242,756,5651,5515
13037,"Calhoun, GA",60,"      Professional, scientific, and technical services",(D),(D),257,(D),(D),(D),(D),(D),181,166,183,162
13037,"Calhoun, GA",64,      Management of companies and enterprises,10298,9020,8398,8245,7848,7311,7142,3708,3892,465,5438,5328
13037,"Calhoun, GA",65,      Administrative and support and waste management and remediation services,(D),(D),318,(D),(D),(D),(D),180,168,125,29,25
13037,"Calhoun, GA",68,"    Educational services, health care, and social assistance",9583,9542,9964,9645,8166,6703,5828,5497,4677,3782,3187,2604
13037,"Calhoun, GA",69,      Educational services,(D),(D),(D),(D),(D),(D),(D),(D),(D),180,72,10
13037,"Calhoun, GA",70,      Health care and social assistance,(D),(D),(D),(D),(D),(D),(D),(D),(D),3602,3115,2594
13037,"Calhoun, GA",75,"    Arts, entertainment, recreation, accommodation, and food services",271,(D),(D),(D),(D),(D),703,1111,(D),(D),(D),(D)
13037,"Calhoun, GA",76,"      Arts, entertainment, and recreation",0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13037,"Calhoun, GA",79,      Accommodation and food services,271,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13037,"Calhoun, GA",82,    Other services (except government and government enterprises),(D),2222,1971,2258,2547,2574,2741,2788,3208,3392,3127,2978
13037,"Calhoun, GA",83,Government and government enterprises,31672,30932,30255,31151,30033,29795,41310,38273,37836,36198,35427,35704
13037,"Calhoun, GA",,Addenda:,,,,,,,,,,,,
13037,"Calhoun, GA",87,Natural resources and mining,21729,32779,20872,20440,16802,33830,43274,47177,34014,38044,(D),48282
13037,"Calhoun, GA",88,Trade,17222,16655,16299,16038,15068,14767,13362,11807,11502,10487,10485,9711
13037,"Calhoun, GA",89,Transportation and utilities,1634,1541,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13037,"Calhoun, GA",90,Manufacturing and information,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1265,(D)
13037,"Calhoun, GA",91,Private goods-producing industries 2/,24592,38391,24960,23369,19090,35721,45550,48885,36267,40164,47535,53964
